symbol,current_price,target-price,difference
AMSC,12.84,13,0.16000000000000014
AMSF,65.14,80,14.86
AMSWA,17.14,22,4.859999999999999
AMT,249.34,278,28.659999999999997
AMTB,13.14,15,1.8599999999999994
AMTBB,9.41,0,-9.41
AMTD,37.32,39,1.6799999999999997
AMTI,21.47,35,13.530000000000001
AMTX,2.14,2.25,0.10999999999999988
AMU,8.35,0,-8.35
AMUB,8.359,0,-8.359
AMWD,92.03,81,-11.030000000000001
AMX,12.68,17,4.32
AMYT,11.41,42.5,31.09
AMZA,17.4,0,-17.4
AMZN,3284.72,3000,-284.7199999999998
AN,58.1,55,-3.1000000000000014
ANAB,17.46,17,-0.46000000000000085
ANAT,72.21,87.04,14.830000000000013
ANCN,1.05,1,-0.050000000000000044
ANDA,10.29,0,-10.29
ANDAR,0.35,0,-0.35
ANDAU,10.72,0,-10.72
ANDAW,0.26,0,-0.26
ANDE,17.08,15,-2.0799999999999983
ANET,222.57,205,-17.569999999999993
ANF,10.11,13,2.8900000000000006
ANGI,13.9,17,3.0999999999999996
ANGL,30.3,20.5,-9.8
ANGO,9.02,14,4.98
ANH,1.72,2,0.28
ANH-C,0,0,0
ANIK,36.39,51,14.61
ANIP,31.24,48,16.76
ANIX,2.36,8.25,5.890000000000001
ANNX,24.6,0,-24.6
ANPC,5.97,18,12.030000000000001
ANSS,324.5,278,-46.5
ANTE,1.17,0,-1.17
ANTM,284.63,327.5,42.870000000000005
ANVS,4.98,0,-4.98
ANY,3.03,5,1.9700000000000002
AOA,58.49,0,-58.49
AOD,8.1,0,-8.1
AOK,37.4,0,-37.4
AOM,41.34,0,-41.34
AON,193.64,215.5,21.860000000000014
AOR,48.78,0,-48.78
AOS,48.95,40,-8.950000000000003
AOSL,12.96,11,-1.9600000000000009
AOUTV,0,0,0
AP,3.81,5,1.19
APA,14.26,14,-0.2599999999999998
APAM,37.61,38,0.39000000000000057
APD,286.44,265,-21.439999999999998
APDN,9.3,21.5,12.2
APEI,32.81,33,0.18999999999999773
APEN,1.43,5.5,4.07
APEX,0.73,0.65,-0.07999999999999996
APG,14.97,0,-14.97
APH,108.24,95,-13.239999999999995
APHA,4.48,0,-4.48
API,45.5,0,-45.5
APLE,9.39,13,3.6099999999999994
APLS,30.32,54,23.68
APLT,24.69,60,35.31
APM,2.84,23,20.16
APO,47.03,43,-4.030000000000001
APOG,21.54,25.5,3.960000000000001
APOP,2.76,12,9.24
APOPW,0.0777,0,-0.0777
APPF,167.15,88,-79.15
APPN,53.62,39.5,-14.119999999999997
APPS,28.04,12.25,-15.79
APRE,28.64,40.5,11.86
APRN,8.59,9.5,0.9100000000000001
APT,15.91,2.5,-13.41
APTO,4.98,4.89,-0.09000000000000075
APTS,6.68,8,1.3200000000000003
APTV,83.88,86,2.1200000000000045
APTX,3.88,9,5.12
APVO,8.81,31,22.189999999999998
APWC,1.1,0,-1.1
APXT,10.04,0,-10.04
APXTU,10.8,0,-10.8
APXTW,1.36,0,-1.36
APYX,5.07,7.5,2.4299999999999997
AQB,2.98,5,2.02
AQMS,1.01,2,0.99
AQN,13.98,0,-13.98
AQNA,27.83,0,-27.83
AQNB,27.13,0,-27.13
AQST,8.21,15.5,7.289999999999999
AQUA,20.12,14,-6.120000000000001
AR,3.66,3,-0.6600000000000001
ARA,6.63,7,0.3700000000000001
ARAV,6.14,28,21.86
ARAY,2.42,7,4.58
ARB,25.543,0,-25.543
ARC,1.24,3.5,2.26
ARCB,32.13,24,-8.130000000000003
ARCC,14.24,15.5,1.2599999999999998
ARCE,41.08,55.95,14.870000000000005
ARCH,32.06,50,17.939999999999998
ARCM,100.675,0,-100.675
ARCO,4.49,6,1.5099999999999998
ARCT,62.65,64,1.3500000000000014
ARD,14.89,17,2.1099999999999994
ARDC,12.65,0,-12.65
ARDS,6.41,18,11.59
ARDX,5.915,13,7.085
ARE,170.69,172.5,1.8100000000000023
AREC,1.29,1.75,0.45999999999999996
ARES,39.75,44,4.25
ARGD,25.86,1.6,-24.259999999999998
ARGO,34.82,42,7.18
ARGT,25.74,0,-25.74
ARGX,236.18,236.56,0.37999999999999545
ARI,8.95,11,2.0500000000000007
ARKF,38.77,0,-38.77
ARKG,62.97,128.01,65.03999999999999
ARKK,89.83,700,610.17
ARKQ,55.74,0,-55.74
ARKR,9.41,17,7.59
ARKW,105.04,17,-88.04
ARL,9.01,0,-9.01
ARLO,6.42,4,-2.42
ARLP,3.28,7,3.72
ARMK,24.04,30,5.960000000000001
ARMP,3.26,9,5.74
ARMR,19.401,0,-19.401
ARNA,66.79,77,10.209999999999994
ARNC,22.29,15,-7.289999999999999
AROC,6.7,8.5,1.7999999999999998
AROW,28.76,30,1.2399999999999984
ARPO,1.54,1,-0.54
ARQT,28.2,43,14.8
ARR,9.57,9,-0.5700000000000003
ARR-C,0,0,0
ARTL,0.94,8,7.0600000000000005
ARTLW,0,0,0
ARTNA,35.41,46,10.590000000000003
ARTW,2.31,7,4.6899999999999995
ARVN,25.4,59,33.6
ARW,75.26,70,-5.260000000000005
ARWR,42.49,60,17.509999999999998
ARYA,10.4,0,-10.4
ARYB,10.2,0,-10.2
ARYBU,10.84,0,-10.84
ARYBW,1.9,0,-1.9
ASA,22.51,0,-22.51
ASB,13.2,15,1.8000000000000007
ASB-C,0,0,0
ASB-D,0,0,0
ASB-E,0,0,0
ASB-F,0,0,0
ASC,3.93,10,6.07
ASEA,12.47,0,-12.47
ASET,27.079,0,-27.079
ASFI,13.03,8,-5.029999999999999
ASG,7.53,0,-7.53
ASGI,19.41,0,-19.41
ASGN,70.4,66,-4.400000000000006
ASH,75.23,85,9.769999999999996
ASHR,34.45,0,-34.45
ASHS,35.1536,0,-35.1536
ASHX,25.598,0,-25.598
ASIX,13.19,19.5,6.3100000000000005
